"DIA";"TIPO_CAMBIO_COMPRA";"TIPO_CAMBIO_VENTA"
"01 ene 2019";"604,39";"611,75"
"02 ene 2019";"604,39";"611,75"
"03 ene 2019";"603,01";"611,55"
"04 ene 2019";"604,77";"611,68"
"07 ene 2019";"602,40";"611,55"
"08 ene 2019";"605,39";"612,93"
"09 ene 2019";"604,83";"612,21"
"10 ene 2019";"605,61";"612,12"
"11 ene 2019";"604,86";"610,49"
"14 ene 2019";"602,30";"608,80"
"15 ene 2019";"599,81";"606,63"
"16 ene 2019";"598,84";"605,08"
"17 ene 2019";"596,67";"602,97"
"18 ene 2019";"597,13";"603,52"
"21 ene 2019";"597,00";"604,70"
"22 ene 2019";"597,49";"605,15"
"23 ene 2019";"598,60";"606,56"
"24 ene 2019";"603,22";"608,11"
"25 ene 2019";"605,03";"610,70"
"28 ene 2019";"606,26";"612,60"
"29 ene 2019";"606,85";"613,97"
"30 ene 2019";"608,99";"614,95"
"31 ene 2019";"607,85";"614,17"
"01 feb 2019";"608,04";"614,32"
"04 feb 2019";"607,40";"615,31"
"05 feb 2019";"606,03";"616,40"
"06 feb 2019";"608,51";"616,45"
"07 feb 2019";"608,11";"615,35"
"08 feb 2019";"610,01";"615,12"
"11 feb 2019";"608,78";"614,96"
"12 feb 2019";"607,96";"615,06"
"13 feb 2019";"608,15";"614,08"
"14 feb 2019";"607,24";"612,76"
"15 feb 2019";"607,17";"612,42"
"18 feb 2019";"604,45";"611,36"
"19 feb 2019";"605,64";"611,20"
"20 feb 2019";"605,76";"612,62"
"21 feb 2019";"606,89";"612,00"
"22 feb 2019";"605,97";"611,69"
"25 feb 2019";"606,05";"611,12"
"26 feb 2019";"604,97";"612,21"
"27 feb 2019";"605,35";"611,66"
"28 feb 2019";"605,05";"610,72"
"01 mar 2019";"604,08";"609,76"
"04 mar 2019";"602,58";"609,32"
"05 mar 2019";"602,87";"608,50"
"06 mar 2019";"603,97";"610,37"
"07 mar 2019";"605,74";"611,11"
"08 mar 2019";"605,89";"611,39"
"11 mar 2019";"604,45";"610,76"
"12 mar 2019";"602,37";"608,21"
"13 mar 2019";"601,13";"607,25"
"14 mar 2019";"599,23";"604,75"
"15 mar 2019";"596,83";"601,76"
"18 mar 2019";"594,28";"600,62"
"19 mar 2019";"592,67";"598,73"
"20 mar 2019";"592,09";"600,39"
"21 mar 2019";"597,70";"603,16"
"22 mar 2019";"598,76";"605,23"
"25 mar 2019";"604,62";"612,61"
"26 mar 2019";"604,50";"610,54"
"27 mar 2019";"601,65";"608,14"
"28 mar 2019";"600,64";"606,75"
"29 mar 2019";"598,41";"603,85"
"01 abr 2019";"596,04";"602,36"
"02 abr 2019";"595,00";"602,74"
"03 abr 2019";"597,18";"605,49"
"04 abr 2019";"602,41";"608,93"
"05 abr 2019";"604,31";"609,46"
"08 abr 2019";"601,99";"608,58"
"09 abr 2019";"601,42";"607,96"
"10 abr 2019";"599,82";"605,30"
"12 abr 2019";"598,67";"603,70"
"15 abr 2019";"596,34";"602,69"
"16 abr 2019";"595,01";"600,73"
"17 abr 2019";"592,91";"598,79"
"22 abr 2019";"592,50";"598,63"
"23 abr 2019";"593,76";"601,24"
"24 abr 2019";"596,66";"603,51"
"25 abr 2019";"598,81";"605,24"
"26 abr 2019";"597,00";"603,05"
"29 abr 2019";"594,26";"599,75"
"30 abr 2019";"592,98";"599,09"
"02 may 2019";"592,27";"598,90"
"03 may 2019";"593,09";"599,48"
"06 may 2019";"591,37";"598,34"
"07 may 2019";"591,14";"598,76"
"08 may 2019";"591,57";"599,10"
"09 may 2019";"591,88";"597,82"
"10 may 2019";"592,28";"598,45"
"13 may 2019";"591,91";"597,68"
"14 may 2019";"590,86";"596,50"
"15 may 2019";"588,80";"594,57"
"16 may 2019";"586,70";"592,66"
"17 may 2019";"584,48";"591,45"
"20 may 2019";"584,01";"590,91"
"21 may 2019";"584,57";"591,28"
"22 may 2019";"584,47";"591,09"
"23 may 2019";"587,46";"593,71"
"24 may 2019";"587,89";"594,03"
"27 may 2019";"588,41";"594,97"
"28 may 2019";"587,93";"594,51"
"29 may 2019";"587,05";"592,86"
"30 may 2019";"585,97";"591,24"
"31 may 2019";"584,11";"590,54"
"03 jun 2019";"583,49";"591,03"
"04 jun 2019";"583,91";"591,07"
"05 jun 2019";"585,32";"593,65"
"06 jun 2019";"589,38";"594,50"
"07 jun 2019";"589,42";"596,50"
"10 jun 2019";"588,66";"595,40"
"11 jun 2019";"586,02";"592,68"
"12 jun 2019";"584,85";"591,39"
"13 jun 2019";"586,62";"589,59"
"14 jun 2019";"582,59";"588,52"
"17 jun 2019";"581,13";"588,89"
"18 jun 2019";"580,66";"587,86"
"19 jun 2019";"580,80";"587,43"
"20 jun 2019";"581,92";"589,16"
"21 jun 2019";"581,65";"587,95"
"24 jun 2019";"581,72";"588,06"
"25 jun 2019";"581,18";"587,81"
"26 jun 2019";"580,76";"587,13"
"27 jun 2019";"578,98";"586,31"
"28 jun 2019";"578,35";"585,45"
"01 jul 2019";"576,72";"583,64"
"02 jul 2019";"574,89";"583,23"
"03 jul 2019";"576,49";"583,31"
"04 jul 2019";"578,17";"585,17"
"05 jul 2019";"579,32";"585,83"
"08 jul 2019";"578,21";"585,77"
"09 jul 2019";"578,34";"585,53"
"10 jul 2019";"579,47";"585,50"
"11 jul 2019";"579,10";"584,18"
"12 jul 2019";"578,21";"584,05"
"15 jul 2019";"575,32";"582,11"
"16 jul 2019";"572,15";"578,39"
"17 jul 2019";"571,58";"577,89"
"18 jul 2019";"572,27";"578,31"
"19 jul 2019";"571,81";"578,78"
"22 jul 2019";"570,73";"577,37"
"23 jul 2019";"569,91";"576,82"
"24 jul 2019";"570,44";"575,97"
"26 jul 2019";"570,31";"575,69"
"29 jul 2019";"568,86";"574,94"
"30 jul 2019";"567,50";"573,97"
"31 jul 2019";"567,11";"573,46"
"01 ago 2019";"566,52";"572,26"
"05 ago 2019";"566,60";"573,55"
"06 ago 2019";"565,44";"573,27"
"07 ago 2019";"565,20";"573,18"
"08 ago 2019";"566,95";"573,32"
"09 ago 2019";"567,31";"573,53"
"12 ago 2019";"567,34";"574,07"
"13 ago 2019";"567,07";"573,62"
"14 ago 2019";"566,60";"572,43"
"16 ago 2019";"565,42";"571,30"
"19 ago 2019";"563,82";"570,46"
"20 ago 2019";"562,23";"569,92"
"21 ago 2019";"561,39";"568,07"
"22 ago 2019";"561,75";"568,45"
"23 ago 2019";"562,94";"569,53"
"26 ago 2019";"563,07";"570,20"
"27 ago 2019";"562,87";"570,17"
"28 ago 2019";"563,95";"570,03"
"29 ago 2019";"565,17";"570,99"
"30 ago 2019";"566,45";"572,89"
"02 sep 2019";"567,66";"575,16"
"03 sep 2019";"568,57";"577,15"
"04 sep 2019";"573,02";"579,59"
"05 sep 2019";"574,08";"580,82"
"06 sep 2019";"576,20";"582,67"
"09 sep 2019";"575,05";"581,13"
"10 sep 2019";"573,58";"579,79"
"11 sep 2019";"571,93";"577,96"
"12 sep 2019";"571,18";"577,28"
"13 sep 2019";"572,08";"578,83"
"16 sep 2019";"572,43";"579,66"
"17 sep 2019";"572,98";"580,49"
"18 sep 2019";"574,73";"580,77"
"19 sep 2019";"574,83";"582,00"
"20 sep 2019";"576,05";"583,55"
"23 sep 2019";"576,71";"583,86"
"24 sep 2019";"578,31";"585,06"
"25 sep 2019";"579,57";"585,84"
"26 sep 2019";"578,67";"585,43"
"27 sep 2019";"578,99";"584,74"
"30 sep 2019";"577,93";"583,88"
"01 oct 2019";"576,58";"583,46"
"02 oct 2019";"576,29";"583,23"
"03 oct 2019";"577,82";"585,11"
"04 oct 2019";"579,41";"585,76"
"07 oct 2019";"578,10";"585,88"
"08 oct 2019";"577,42";"585,11"
"09 oct 2019";"578,10";"584,46"
"10 oct 2019";"578,50";"583,98"
"11 oct 2019";"578,28";"583,69"
"14 oct 2019";"576,37";"583,57"
"15 oct 2019";"574,86";"581,85"
"16 oct 2019";"574,45";"580,84"
"17 oct 2019";"576,41";"582,42"
"18 oct 2019";"575,95";"582,66"
"21 oct 2019";"577,13";"583,79"
"22 oct 2019";"578,93";"585,42"
"23 oct 2019";"577,82";"585,88"
"24 oct 2019";"579,20";"586,00"
"25 oct 2019";"581,49";"586,66"
"28 oct 2019";"579,25";"585,91"
"29 oct 2019";"578,10";"584,91"
"30 oct 2019";"579,36";"585,31"
"31 oct 2019";"579,86";"585,39"
"01 nov 2019";"581,05";"585,89"
